text,label
"source:DVWA event:RECON ip:185.182.30.14 username:- password:- command:- request:""GET /dvwa/.env HTTP/1.1""",RECON-DVWA
source:cowrie event:cowrie.login.success ip:172.21.42.134 username:ubuntu password:password command:- request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:exit request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.command.input ip:172.20.116.213 password:- command:./bot.sh request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success ip:185.235.98.20 username:proxy password:P@ssw0rd command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:SQLi ip:91.152.4.7 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id='+OR+1=1--+&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:ls -la request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:45.26.29.37 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
source:cowrie event:cowrie.login.success ip:203.42.84.26 username:postgres password:login command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:SQLi ip:185.157.44.132 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+UNION+SELECT+schema_name,null+FROM+information_schema.schemata--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:203.14.236.229 username:- password:- command:cat /etc/shadow request:-,SSH_COMMAND-COWRIE
source:cowrie event:cowrie.login.success ip:203.228.155.62 username:mysql password:test request:-,SSH_SUCCESS-COWRIE
source:cowrie event:cowrie.command.input ip:91.107.153.149 username:- password:- command:zip -r /tmp/loot.zip /etc/passwd /etc/shadow request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:192.168.137.107 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+sleep(5)--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:172.30.201.224 username:- password:- command:ssh-keygen -t rsa request:-,SSH_COMMAND-COWRIE
"source:DVWA event:LOGIN ip:192.168.244.137 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
event:cowrie.login.failed ip:172.26.138.169 username:oracle password:vagrant command:- request:-,BRUTE_FORCE_SSH-COWRIE
"source:DVWA event:RECON ip:203.251.106.67 username:- password:- command:- request:""GET /dvwa/vulnerabilities/xss_r/?name=<script>alert(1)</script>&Submit=Submit HTTP/1.1""",XSS-DVWA
"source:DVWA event:LOGIN ip:192.168.21.199 username:- password:- command:- request:""POST /dvwa/login.php HTTP/1.1""",BRUTE_FORCE_WEB-DVWA
"source:DVWA event:SQLi ip:203.57.22.252 username:- command:- password:- request:""GET /dvwa/vulnerabilities/sqli/?id=1%3bINSERT+INTO+users(user,password)+VALUES('h4x','h4x')--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.login.success ip:185.179.218.221 username:git password:P@ssw0rd command:- request:-,SSH_SUCCESS-COWRIE
"source:DVWA event:SQLi ip:192.168.241.52 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1;EXEC+xp_cmdshell('whoami')--&Submit=Submit HTTP/1.1""",SQLI-DVWA
"source:DVWA event:RECON ip:192.168.92.48 username:- password:- command:- request:""GET /dvwa/vulnerabilities/fi/?page=..%2f..%2fhome%2fphil%2f.bash_history HTTP/1.1""",RECON-DVWA
"source:DVWA event:SQLi ip:45.227.163.2 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1+AND+1=2+UNION+SELECT+table_name,null+FROM+information_schema.tables--&Submit=Submit HTTP/1.1""",SQLI-DVWA
source:cowrie event:cowrie.command.input ip:192.168.244.137 username:- password:- command:ls /var request:-,SSH_COMMAND-COWRIE
"source:DVWA event:SQLi ip:45.25.43.90 username:- password:- command:- request:""GET /dvwa/vulnerabilities/sqli/?id=1'+AND+SLEEP(5)--+&Submit=Submit HTTP/1.1""",SQLI-DVWA
